voltage[V],time[ns]
0.3685712595,0.0000
0.3618082886,0.1429
0.3757723973,0.2858
0.3572778206,0.4286
0.3459734497,0.5715
0.3547076923,0.7144
0.3460411805,0.8573
0.3610484535,1.0001
0.3610991294,1.1430
0.3672349430,1.2859
0.3515116674,1.4288
0.3638440835,1.5717
0.3579431119,1.7145
0.3578666569,1.8574
0.3521208863,2.0003
0.3430368709,2.1432
0.3527942219,2.2860
0.3491761614,2.4289
0.3377466709,2.5718
0.3401760290,2.7147
0.3532796008,2.8576
0.3412574597,3.0004
0.3641241925,3.1433
0.3552357561,3.2862
0.3587515793,3.4291
0.3521984031,3.5719
0.3579935823,3.7148
0.3482767967,3.8577
0.3443549890,4.0006
0.3350589946,4.1434
0.3529617313,4.2863
0.3391614912,4.4292
0.3334158497,4.5721
0.3334168619,4.7150
0.3438370909,4.8578
0.3223008258,5.0007
0.3399539931,5.1436
0.3273685416,5.2865
0.3356699069,5.4293
0.3201660479,5.5722
0.3301845662,5.7151
0.3079865111,5.8580
0.3429382542,6.0009
0.3260325702,6.1437
0.3175614515,6.2866
0.3274971687,6.4295
0.3322335093,6.5724
0.3343691685,6.7152
0.3130348578,6.8581
0.3142797727,7.0010
0.3198803582,7.1439
0.3172454534,7.2868
0.2976713154,7.4296
0.3041037625,7.5725
0.3028786380,7.7154
0.3206377315,7.8583
0.2996855472,8.0011
0.3398786895,8.1440
0.3042951910,8.2869
0.2991413444,8.4298
0.2983767916,8.5727
0.3164419949,8.7155
0.3135833518,8.8584
0.2838322193,9.0013
0.2950669879,9.1442
0.2825305980,9.2870
0.3042371487,9.4299
0.3191839765,9.5728
0.3025463245,9.7157
0.3014575365,9.8586
0.2895207192,10.0014
0.2774201855,10.1443
0.2761714414,10.2872
0.2649791184,10.4301
0.3001912908,10.5729
0.2833336225,10.7158
0.3151750921,10.8587
0.2798622393,11.0016
0.2759139894,11.1444
0.2726185917,11.2873
0.2854773992,11.4302
0.2833488271,11.5731
0.2748173076,11.7160
0.2775953075,11.8588
0.2844248337,12.0017
0.2840333656,12.1446
0.2936772205,12.2875
0.2768434719,12.4303
0.2426968867,12.5732
0.2622313599,12.7161
0.2573908237,12.8590
0.2603566840,13.0019
0.2555474207,13.1447
0.2507813719,13.2876
0.2675320597,13.4305
0.2684516374,13.5734
0.2810983749,13.7162
0.2622638341,13.8591
0.2558450777,14.0020
0.2418414501,14.1449
0.2415978857,14.2878
0.2447647505,14.4306
0.2617749268,14.5735
0.2472856935,14.7164
0.2439553271,14.8593
0.2512257852,15.0021
0.2471720620,15.1450
0.2529552949,15.2879
0.2520568490,15.4308
0.2573322437,15.5737
0.2298976464,15.7165
0.2243168693,15.8594
0.2199140026,16.0023
0.2302061778,16.1452
0.2185340759,16.2880
0.2266527382,16.4309
0.2314062528,16.5738
0.2224737727,16.7167
0.2308613419,16.8596
0.2205972516,17.0024
0.2158770808,17.1453
0.2150026241,17.2882
0.2159801181,17.4311
0.2197160567,17.5739
0.2077693044,17.7168
0.2133318832,17.8597
0.2189178579,18.0026
0.2131976185,18.1454
0.2309736423,18.2883
0.2152173198,18.4312
0.1885859410,18.5741
0.1899924963,18.7170
0.2063261352,18.8598
0.1997719068,19.0027
0.2126081198,19.1456
0.2161985007,19.2885
0.1908521797,19.4313
0.2067957699,19.5742
0.2143900055,19.7171
0.1903289420,19.8600
0.2068633786,20.0029
0.2060090274,20.1457
0.2002304068,20.2886
0.1956651036,20.4315
0.1781115894,20.5744
0.1870166675,20.7172
0.1767704815,20.8601
0.1666128985,21.0030
0.1971200810,21.1459
0.1855954125,21.2888
0.1822890564,21.4316
0.1593316562,21.5745
0.1859534961,21.7174
0.1677853721,21.8603
0.1732541367,22.0031
0.1699160709,22.1460
0.1666432748,22.2889
0.1631937177,22.4318
0.1975670546,22.5747
0.1723157104,22.7175
0.1650517823,22.8604
